시군별,성별,10대,20대,30대,40대,50대,60대,70대,80대,90대
수원시,남,59358,94242,95345,99786,99085,68637,26983,10415,994
수원시,여,55853,85641,85296,98489,99790,69830,32761,18344,3213
용인시,남,61989,70445,67962,95481,89378,57230,30407,14334,1317
용인시,여,59225,64257,68143,98781,87319,60769,37684,19207,3387
성남시,남,43413,62215,68537,74020,77148,60297,27282,10929,1064
성남시,여,41307,58991,65265,76078,77211,63156,32466,17170,3217
부천시,남,34025,53809,56168,61591,68278,60165,23456,7816,720
부천시,여,32447,50559,52685,60255,72696,62952,26482,14520,2603
안산시,남,30249,53081,45910,51451,63700,44456,14419,5454,540
안산시,여,28552,46645,38117,47884,62498,40398,17055,10810,1913
화성시,남,53923,59690,79249,94085,69521,43671,17039,6355,499
화성시,여,52048,50060,71013,84158,59940,41132,18969,10697,1970
안양시,남,25895,36981,40669,41867,46180,38470,15687,5704,563
안양시,여,24090,34502,38347,42660,48927,40549,18031,10220,1850
평택시,남,28456,43829,49844,53810,49986,32802,13231,5828,501
평택시,여,27011,34028,39334,46146,44343,31899,16376,10207,1640
시흥시,남,26177,36144,40786,50144,47228,30753,9903,3559,299
시흥시,여,24900,30255,35119,42647,43124,27136,11379,6954,1230
김포시,남,26297,25834,34277,48279,35992,27479,13231,4886,432
김포시,여,25453,24552,35870,45322,34525,28626,14910,7666,1350
광명시,남,14974,18031,19688,23839,24199,19028,8350,2900,264
광명시,여,14205,16840,18719,24705,24437,21065,9944,5481,920
광주시,남,17840,23166,28288,36248,34283,27529,11896,4030,281
광주시,여,17035,20370,26056,32630,32449,27748,12590,6216,1081
군포시,남,12862,18361,19567,20366,22897,18580,7219,3086,356
군포시,여,12007,16814,17466,20858,24009,19576,8493,5440,972
이천시,남,11445,17371,16628,18277,18566,15495,6539,2787,252
이천시,여,10660,12877,13841,16743,17190,14517,7373,4747,775
오산시,남,13079,16285,19855,23770,18290,11612,4712,1825,133
오산시,여,12279,13617,16109,20815,16627,11753,5765,3027,462
하남시,남,15345,18509,26201,30855,23643,19518,9386,2667,227
하남시,여,14946,18471,26287,28906,23241,20858,9495,4408,909
안성시,남,9016,12463,12163,15951,17030,14521,6839,2976,261
안성시,여,8489,10122,9813,13854,15094,14106,7680,5270,962
의왕시,남,7108,11068,11392,11791,13631,11842,4571,1723,178
의왕시,여,6650,10008,10888,11695,14870,12299,4967,2965,614
여주시,남,4869,6276,5931,8059,10487,10686,5324,2322,228
여주시,여,4499,5234,5179,7698,9514,10223,5557,3768,709
과천시,남,3855,5034,5745,5840,6268,4921,1989,869,112
과천시,여,3656,4744,5888,6060,6741,5086,2324,1386,304
양평군,남,5176,5623,5397,8102,10823,12829,6974,2898,264
양평군,여,4677,4502,4994,8047,10268,12830,7101,4325,836
고양시,남,51591,71406,71407,84137,96247,70655,27509,13727,1455
고양시,여,49522,68822,71714,88717,101353,70456,35575,24086,4081
남양주시,남,40887,43720,43921,65659,63421,46490,22143,8750,723
남양주시,여,38639,40424,44545,66218,61383,48430,26290,13864,2353
의정부시,남,21028,31273,30995,36561,39960,31114,14231,6123,484
의정부시,여,20039,30870,29461,35678,41468,33195,17925,10225,1570
파주시,남,26354,31967,36475,43499,41666,29530,13226,6298,596
파주시,여,25323,26931,33298,41155,38413,29188,16568,10526,1830
양주시,남,12631,14909,15084,20586,21566,16899,8075,3358,275
양주시,여,12436,12799,13864,19820,19691,16562,9187,5418,950
구리시,남,8773,12462,12301,15340,16795,13432,5426,2145,188
구리시,여,8311,11884,11977,15249,17563,13527,6611,3457,507
포천시,남,5886,9839,8131,10036,15659,15356,6048,2679,245
포천시,여,5399,7312,6228,8619,12889,12839,6631,4658,799
동두천시,남,4152,5597,5015,6753,8579,7227,3614,1841,163
동두천시,여,4069,4803,4473,6411,7664,7355,4834,3224,457
가평군,남,2261,3438,2969,4064,5811,6879,3451,1590,154
가평군,여,2168,2482,2431,3505,5080,6465,3644,2428,412
연천군,남,1529,3073,2327,2467,3677,4365,2252,1136,113
연천군,여,1388,1734,1653,2086,3111,3969,2584,1997,308
